Taxon,EPBC Act listed,NSW listed,WA listed,VIC listed,SA listed,QLD listed,TAS listed,ACT listed,Endemic NSW,Endemic SA,Endemic WA,Endemic VIC,Endemic QLD,Endemic TAS,Endemic ACT,All other taxa,Proportion of range map burnt,Proportion of SNES range map burnt (EPBC Act species only) ,Proportion of point locations burnt,high fire frequency ranking,cumulative fire risk ranking
Acacia alata var. biglandulosa,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.68E-04,NA,0,NONE,DD
Acacia alata var. platyptera,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.010291129,NA,0,LOW,DD
Acacia alata var. tetrantha,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.008044959,NA,0.039215686,LOW,DD
Acacia alaticaulis,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,1,MEDIUM,HIGH
Acacia albizioides,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,DD,DD
Acacia alcockii,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.001280486,NA,0,NONE,DD
Acacia alexandri,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,NONE,NONE
Acacia alleniana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,NONE,NONE
Acacia alpina,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.205400098,NA,0.410852713,LOW,HIGH
Acacia amanda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,NONE,NONE
Acacia amblygona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.040661806,NA,0.009933775,LOW,DD
Acacia amblyophylla,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,NONE,NONE
Acacia amentifera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,NONE,NONE
Acacia ammobia,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NONE,NONE
Acacia ammophila,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,NONE,NONE
Acacia amoena,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.244945523,NA,0.25,LOW,MEDIUM
Acacia ampliata,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,NONE,NONE
Acacia ampliceps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,NONE,NONE
Acacia ampliceps x Acacia bivenosa,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,NONE,NONE
Acacia ampliceps x Acacia sclerosperma subsp. sclerosperma,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,NONE,NONE
Acacia amputata,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.035231474,NA,0,LOW,DD
Acacia amyctica,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.063547297,NA,0,LOW,DD
Acacia anarthros,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.18E-04,NA,0,LOW,DD
Acacia anasilla,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,NONE,NONE
Acacia anastema,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,NONE,NONE
Acacia anastomosa,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,NONE,NONE
Acacia anaticeps,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,NONE,NONE
Acacia anceps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.025011385,NA,0,LOW,DD
Acacia ancistrocarpa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,NONE,NONE
Acacia ancistrocarpa x Acacia citrinoviridis,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,DD,DD
Acacia ancistrophylla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.038250928,NA,0,LOW,DD
Acacia ancistrophylla var. ancistrophylla,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.023913653,NA,0.033333333,LOW,LOW
Acacia ancistrophylla var. lissophylla,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0030137,NA,0.010752688,LOW,LOW
Acacia ancistrophylla var. perarcuata,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.005871212,NA,0,LOW,DD
Acacia andrewsii,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.018321303,NA,0.016853933,LOW,DD
Acacia aneura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.001670725,NA,0,LOW,DD
Acacia aneura var. aneura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.02E-04,NA,0,LOW,LOW
Acacia aneura var. major,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.40E-04,NA,0,LOW,LOW
Acacia anfractuosa,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.023015542,NA,0,LOW,DD
Acacia angusta,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.005164913,NA,0.013513514,LOW,DD
Acacia anomala,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7.81E-04,0.022038975,0,LOW,DD
Acacia anserina,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,NONE,NONE
Acacia anthochaera,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.90E-04,NA,0,LOW,DD
Acacia aphanoclada,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,NONE,NONE
Acacia aphanoclada x Acacia pyrifolia var. pyrifolia,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,NONE,NONE
Acacia aphylla,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.010510874,0,0,NONE,NONE
Acacia applanata,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.013595614,NA,0.021008403,LOW,DD
Acacia aprepta,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.002283589,NA,0,LOW,LOW
Acacia aprica,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NONE,NONE
Acacia aptaneura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.001765971,NA,0,LOW,MEDIUM
Acacia arafurica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,NONE,NONE
Acacia araneosa,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NONE,NONE
Acacia arbiana,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,NA,0,NONE,NONE
Acacia arcuatilis,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.006122802,NA,0,LOW,DD
Acacia areolata,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,NONE,NONE
Acacia argentina,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,NA,0,NONE,NONE
Acacia argutifolia,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,NONE,NONE
Acacia argyraea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,NONE,NONE
Acacia argyrodendron,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.20E-05,NA,0,NONE,DD
Acacia argyrophylla,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.005078245,NA,0,LOW,LOW
Acacia argyrotricha,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,NA,0,NONE,NONE
Acacia arida,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,NONE,NONE
Acacia aristulata,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NONE,NONE
Acacia armillata,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,NONE,NONE
Acacia armitii,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.20E-04,NA,0,LOW,DD
Acacia arrecta,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,NONE,NONE
Acacia ascendens,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00369375,NA,0,LOW,DD
Acacia asepala,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.121540697,NA,0.285714286,LOW,DD
Acacia ashbyae,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.82E-04,NA,0,LOW,DD
Acacia asparagoides,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.396128826,NA,0.571428571,MEDIUM,DD
Acacia aspera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.004408271,NA,0,LOW,LOW
Acacia aspera subsp. aspera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.009497329,NA,0,LOW,LOW
Acacia aspera subsp. parviceps,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.001304073,NA,0,LOW,LOW
Acacia asperulacea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,NONE,NONE
Acacia assimilis,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.048845219,NA,0.024390244,LOW,DD
Acacia assimilis subsp. assimilis,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.050336595,NA,0.020491803,LOW,DD
Acacia assimilis subsp. atroviridis,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.090679314,NA,0.038095238,LOW,MEDIUM
Acacia ataxiphylla,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,DD,DD
Acacia ataxiphylla subsp. ataxiphylla,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,NONE,NONE
Acacia ataxiphylla subsp. magna,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NONE,NONE
Acacia atkinsiana,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,NONE,NONE
Acacia atopa,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,NONE,NONE
Acacia atrox,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,NONE,NONE
Acacia atrox subsp. atrox,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,NONE,NONE
Acacia atrox subsp. planitiicola,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,NONE,NONE
Acacia attenuata,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.031789088,0.005795373,0,LOW,DD
Acacia aulacocarpa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.026120048,NA,0.00982801,LOW,DD
Acacia aulacocarpa x Acacia celsa,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,NONE,NONE
Acacia aulacocarpa x Acacia disparrima,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,DD,DD
Acacia aulacophylla,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.75E-04,NA,0,LOW,DD
